area,year,type,Total All Jobs,Age 29 or younger,Age 30 to 54,Age 55 or older,"$1,250 per month or less","$1,251 to $3,333 per month","More than $3,333 per month","Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,"Administration & Support, Waste Management and Remediation",Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (excluding Public Administration),Public Administration,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,Not Hispanic or Latino,Hispanic or Latino,Less than high school,"High school or equivalent, no college",Some college or Associate degree,Bachelor's degree or advanced degree,Educational attainment not available (workers aged 29 or younger),Male,Female
work,2020,Count,28894,5280,16212,7402,5085,6945,16864,3,0,1,2218,1710,1894,1307,1669,735,5539,446,1267,255,2686,1758,3824,48,657,364,2513,18485,8422,127,1357,24,479,26306,2588,2906,6345,7211,7152,5280,15313,13581
work,2020,Share,1,0.1827369,0.561085346,0.256177753,0.175988094,0.240361321,0.583650585,0.000103828,0,3.46093E-05,0.076763342,0.059181837,0.065549941,0.045234305,0.057762857,0.025437807,0.191700699,0.015435731,0.043849934,0.008825362,0.092960476,0.060843082,0.132345816,0.001661245,0.022738285,0.012597771,0.086973074,0.639752198,0.2914792,0.004395376,0.046964768,0.000830622,0.016577836,0.910431231,0.089568769,0.100574514,0.219595764,0.249567384,0.247525438,0.1827369,0.52997162,0.47002838
work,2019,Count,30261,5844,16862,7555,5646,8439,16176,1,0,0,2463,1750,1956,1466,1725,1100,4118,532,1714,233,3130,1757,4310,59,771,648,2528,19354,9058,116,1240,19,474,27723,2538,3072,6649,7700,6996,5844,16033,14228
work,2019,Share,1,0.193119857,0.557218863,0.24966128,0.186576782,0.278873798,0.53454942,3.30458E-05,0,0,0.081391891,0.057830211,0.064637652,0.048445193,0.057004065,0.036350418,0.136082747,0.017580384,0.05664056,0.007699679,0.103433462,0.058061531,0.142427547,0.001949704,0.025478338,0.021413701,0.08353987,0.639569082,0.29932917,0.003833317,0.040976835,0.000627871,0.015663726,0.916129672,0.083870328,0.101516804,0.219721754,0.254452926,0.231188659,0.193119857,0.529823866,0.470176134
work,2018,Count,32621,6096,18246,8279,5754,9797,17070,4,0,0,2190,1597,2138,1416,1609,1231,4991,590,1765,259,3403,1416,5206,63,650,695,3398,20541,9926,128,1487,20,519,30012,2609,3197,6950,8397,7981,6096,16884,15737
work,2018,Share,1,0.186873486,0.559332945,0.253793569,0.176389442,0.30032801,0.523282548,0.00012262,0,0,0.067134668,0.048956194,0.065540603,0.043407621,0.049324055,0.037736427,0.152999601,0.018086509,0.054106251,0.007939671,0.104319304,0.043407621,0.159590448,0.001931271,0.019925815,0.021305294,0.104166028,0.629686398,0.304282517,0.003923853,0.045584133,0.000613102,0.015909997,0.920020845,0.079979155,0.098004353,0.213052941,0.25741087,0.244658349,0.186873486,0.5175807,0.4824193
work,2017,Count,33082,5960,18829,8293,6058,10341,16683,0,0,4,2371,1593,2335,1219,1506,1909,3917,565,1806,98,4047,1663,5192,89,605,623,3540,21154,9968,139,1313,19,489,30663,2419,3104,7333,8613,8072,5960,17449,15633
work,2017,Share,1,0.180158394,0.569161478,0.250680128,0.18312073,0.312586905,0.504292364,0,0,0.000120912,0.071670395,0.048153074,0.07058219,0.036847833,0.045523245,0.057705096,0.118402757,0.017078774,0.054591621,0.002962336,0.122332386,0.050269028,0.156943353,0.002690285,0.018287891,0.018831993,0.107006832,0.639441388,0.301311892,0.004201681,0.039689257,0.00057433,0.014781452,0.926878665,0.073121335,0.093827459,0.221661326,0.260353062,0.243999758,0.180158394,0.52744695,0.47255305
work,2016,Count,32523,5761,18666,8096,5769,9620,17134,2,0,0,2035,1734,2207,1333,1813,1857,4003,635,1586,89,3844,1613,4917,98,601,691,3465,21033,9632,123,1214,16,505,30182,2341,2865,7244,8610,8043,5761,17066,15457
work,2016,Share,1,0.177136181,0.573932294,0.248931525,0.17738216,0.295790671,0.526827168,6.14949E-05,0,0,0.062571104,0.053316115,0.067859669,0.040986379,0.055745165,0.057098054,0.123082126,0.019524644,0.048765489,0.002736525,0.118193279,0.049595671,0.151185315,0.003013252,0.01847923,0.021246502,0.106539987,0.646711558,0.296159641,0.003781939,0.03732743,0.00049196,0.015527473,0.92802017,0.07197983,0.088091504,0.22273468,0.264735725,0.247301909,0.177136181,0.52473634,0.47526366
work,2015,Count,32775,5834,18962,7979,5974,9874,16927,6,0,0,2047,1712,2129,1228,2138,1844,4342,531,1446,45,4114,1360,4805,114,747,607,3560,22028,9237,119,970,18,403,30666,2109,3046,7146,8848,7901,5834,17133,15642
