year,type,Employed in the Selection Area,Living in the Selection Area,Net Job Inflow (+) or Outflow (-),Living in the Selection Area,Living and Employed in the Selection Area,Living in the Selection Area but Employed Outside,Employed in the Selection Area,Employed and Living in the Selection Area,Employed in the Selection Area but Living Outside,External Jobs Filled by Residents,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class",Internal Jobs Filled by Outside Workers,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class",Internal Jobs Filled by Residents,Workers Aged 29 or younger,Workers Aged 30 to 54,Workers Aged 55 or older,"Workers Earning $1,250 per month or less","Workers Earning $1,251 to $3,333 per month","Workers Earning More than $3,333 per month","Workers in the ""Goods Producing"" Industry Class","Workers in the ""Trade, Transportation, and Utilities"" Industry Class","Workers in the ""All Other Services"" Industry Class"
2020,Count,28894,23637,5257,23637,2762,20875,28894,2762,26132,20875,5276,11196,4403,6360,7135,7380,1697,4736,14442,26132,4670,14720,6742,4307,5796,16029,3623,4369,18140,2762,610,1492,660,778,1149,835,308,502,1952
2020,Share,1,0.818059113,-,1,0.1168507,0.8831493,1,0.09559078,0.90440922,1,0.252742515,0.536335329,0.210922156,0.304670659,0.341796407,0.353532934,0.081293413,0.226874251,0.691832335,1,0.178708097,0.563294046,0.257997857,0.164817083,0.22179703,0.613385887,0.138642278,0.167189653,0.69416807,1,0.220854453,0.540188269,0.238957277,0.281679942,0.416002896,0.302317161,0.111513396,0.181752353,0.706734251
2019,Count,30261,25181,5080,25181,3079,22102,30261,3079,27182,22102,5877,11786,4439,6115,8488,7499,1848,4884,15370,27182,5179,15192,6811,4760,7130,15292,3869,4600,18713,3079,665,1670,744,886,1309,884,345,547,2187
2019,Share,1,0.83212716,-,1,0.122274731,0.877725269,1,0.101748125,0.898251875,1,0.265903538,0.533254909,0.200841553,0.276671794,0.384037644,0.339290562,0.083612343,0.220975477,0.69541218,1,0.190530498,0.558899272,0.25057023,0.175115886,0.262305938,0.562578177,0.142336841,0.169229637,0.688433522,1,0.215979214,0.542383891,0.241636895,0.287755765,0.425138032,0.287106203,0.112049367,0.177655083,0.710295551
2018,Count,32621,25577,7044,25577,3298,22279,32621,3298,29323,22279,5862,12063,4354,6419,8669,7191,1725,4868,15686,29323,5334,16488,7501,4822,8345,16156,3452,4671,21200,3298,762,1758,778,932,1452,914,339,492,2467
2018,Share,1,0.784065479,-,1,0.128943973,0.871056027,1,0.101100518,0.898899482,1,0.263117734,0.541451591,0.195430675,0.288118856,0.389110822,0.322770322,0.077427174,0.218501728,0.704071098,1,0.181904989,0.562288988,0.255806023,0.164444293,0.284588889,0.550966818,0.117723289,0.159294752,0.72298196,1,0.231049121,0.533050334,0.235900546,0.282595512,0.440266828,0.277137659,0.102789569,0.149181322,0.748029109
2017,Count,33082,24951,8131,24951,3226,21725,33082,3226,29856,21725,5614,11764,4347,6450,8372,6903,1746,4753,15226,29856,5300,16980,7576,5162,8870,15824,3612,4556,21688,3226,660,1849,717,896,1471,859,352,508,2366
2017,Share,1,0.754216795,-,1,0.129293415,0.870706585,1,0.097515265,0.902484735,1,0.258411968,0.541495972,0.20009206,0.29689298,0.385362486,0.317744534,0.080368239,0.218780207,0.700851554,1,0.177518757,0.568729904,0.25375134,0.17289657,0.297092712,0.530010718,0.120980707,0.152599143,0.72642015,1,0.204587725,0.573155611,0.222256665,0.277743335,0.455982641,0.266274024,0.109113453,0.157470552,0.733415995
2016,Count,32523,24970,7553,24970,3197,21773,32523,3197,29326,21773,5910,11775,4088,6601,8531,6641,1684,4701,15388,29326,5106,16864,7356,4918,8170,16238,3433,4870,21023,3197,655,1802,740,851,1450,896,338,483,2376
2016,Share,1,0.767764351,-,1,0.12803364,0.87196636,1,0.098299665,0.901700335,1,0.271437101,0.540807422,0.187755477,0.303173655,0.391815551,0.305010793,0.077343499,0.215909613,0.706746888,1,0.17411171,0.575052854,0.250835436,0.167701016,0.278592375,0.553706608,0.117063357,0.166064243,0.7168724,1,0.204879575,0.563653425,0.231467,0.26618705,0.453550203,0.280262746,0.105724116,0.151079137,0.743196747
